match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,average_rank,leaver_status,party_size,hero_variant,start_time_iso
8642940925,0,True,2155,22,7,100,1768021987,,4,6,20,54,0,1.0,1,2026-01-10 05:13:07
8641440376,0,False,1813,22,7,100,1767930867,,6,7,12,61,0,,1,2026-01-09 03:54:27
8641410665,0,True,2459,22,7,100,1767927883,,8,11,21,61,0,,1,2026-01-09 03:04:43
8640085332,2,True,2277,22,7,71,1767845917,,10,9,19,51,0,3.0,1,2026-01-08 04:18:37
8640062045,0,True,2105,22,7,100,1767843537,,7,10,19,55,0,3.0,1,2026-01-08 03:38:57
8638685887,132,False,2388,22,7,11,1767756382,,21,7,7,55,0,,1,2026-01-07 03:26:22
8635942380,129,False,1671,22,7,48,1767584128,,13,5,9,45,0,,2,2026-01-05 03:35:28
