match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,average_rank,leaver_status,party_size,hero_variant,start_time_iso
8652406639,1,False,3646,22,7,1,1768629664,,13,8,14,54,0,1.0,1,2026-01-17 06:01:04
8652359915,3,False,2788,22,7,12,1768626024,,8,10,14,54,0,1.0,4,2026-01-17 05:00:24
8650966175,128,True,3570,22,7,93,1768538374,,10,11,16,54,0,1.0,3,2026-01-16 04:39:34
8649747812,132,False,1737,22,7,104,1768454903,,13,4,22,54,0,1.0,1,2026-01-15 05:28:23
8649669064,132,True,2108,22,7,70,1768446658,,10,6,6,45,2,3.0,1,2026-01-15 03:10:58
8648470453,132,True,1820,22,7,41,1768364078,,4,8,2,54,0,,2,2026-01-14 04:14:38
8648427246,132,False,4095,22,7,18,1768359528,,26,9,16,51,0,,2,2026-01-14 02:58:48
8647229989,131,True,1921,22,7,94,1768276991,,6,7,4,61,0,,1,2026-01-13 04:03:11
8647206870,3,True,2047,22,7,48,1768274461,,14,6,16,53,0,,2,2026-01-13 03:21:01
