account_id,player_slot,party_id,permanent_buffs,party_size,team_number,team_slot,hero_id,hero_variant,item_0,item_1,item_2,item_3,item_4,item_5,backpack_0,backpack_1,backpack_2,item_neutral,item_neutral2,kills,deaths,assists,leaver_status,last_hits,denies,gold_per_min,xp_per_min,level,net_worth,aghanims_scepter,aghanims_shard,moonshard,hero_damage,tower_damage,hero_healing,gold,gold_spent,ability_upgrades_arr,personaname,name,last_login,rank_tier,computed_mmr,is_subscriber,radiant_win,start_time,duration,cluster,lobby_type,game_mode,is_contributor,patch,isRadiant,win,lose,total_gold,total_xp,kills_per_min,kda,abandons,benchmarks,match_id,region,start_time_iso
1195957275,131,8.0,"[{'permanent_buff': 2, 'stack_count': 0, 'grant_time': 3415}, {'permanent_buff': 5, 'stack_count': 305, 'grant_time': 794}, {'permanent_buff': 12, 'stack_count': 0, 'grant_time': 2671}]",1.0,1,3,104,1,50,127,603,939,112,168,0,0,0,1168,1586,11,14,25,0,409,18,608,999,29,33869,1,1,0,54223,4784,4236,2744,31940,"[5595, 5597, 5596, 5595, 5595, 5598, 5595, 5597, 5596, 5596, 5597, 1113, 5598, 5596, 5597, 6671, 5598, 7395, 925, 1176, 463, 6526]",hidden,,,54,3766.99,False,False,1770354165,3771,381,7,22,False,59,False,1,0,38212,62787,0.17501988862370724,2.4,0,"{'gold_per_min': {'raw': 608, 'pct': 0.9102196752626552}, 'xp_per_min': {'raw': 999, 'pct': 0.9274116523400191}, 'kills_per_min': {'raw': 0.17501988862370724, 'pct': 0.44603629417383}, 'last_hits_per_min': {'raw': 6.507557677008751, 'pct': 0.938872970391595}, 'hero_damage_per_min': {'raw': 862.7366746221162, 'pct': 0.8242597898758357}, 'hero_healing_per_min': {'raw': 67.39856801909308, 'pct': 0.7879656160458453}, 'tower_damage': {'raw': 4784, 'pct': 0.728748806112703}}",8679428811,,2026-02-06 05:02:45
1195957275,131,8.0,[],1.0,1,3,33,1,180,116,1,60,21,23,0,0,0,1158,1593,1,6,6,0,138,1,356,425,16,11147,0,0,0,15590,1134,0,247,11550,"[5147, 5147, 5148, 5146, 5147, 5149, 5147, 5148, 5148, 5146, 461, 5146, 5149, 5146, 5148]",hidden,,,54,3766.99,False,True,1770186670,2038,412,7,22,False,59,False,0,1,12092,14435,0.02944062806673209,1.0,0,"{'gold_per_min': {'raw': 356, 'pct': 0.4052631578947368}, 'xp_per_min': {'raw': 425, 'pct': 0.33157894736842103}, 'kills_per_min': {'raw': 0.02944062806673209, 'pct': 0.08947368421052632}, 'last_hits_per_min': {'raw': 4.062806673209029, 'pct': 0.7578947368421053}, 'hero_damage_per_min': {'raw': 458.9793915603533, 'pct': 0.3263157894736842}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.8052631578947368}, 'tower_damage': {'raw': 1134, 'pct': 0.42105263157894735}}",8676947936,,2026-02-04 06:31:10
1195957275,4,4.0,[],1.0,0,4,21,4,166,108,98,63,7,36,0,0,0,1601,1583,9,16,12,0,103,4,304,535,22,13820,0,0,0,35177,568,0,635,14195,"[5131, 5130, 5131, 5130, 5130, 5133, 5132, 5130, 5132, 5131, 5920, 5132, 5133, 5132, 5131, 5133, 6992, 7889]",hidden,,,54,3766.99,False,False,1770182730,3045,251,7,22,False,59,True,0,1,15428,27151,0.17733990147783252,1.24,0,"{'gold_per_min': {'raw': 304, 'pct': 0.1030008110300081}, 'xp_per_min': {'raw': 535, 'pct': 0.29034874290348744}, 'kills_per_min': {'raw': 0.17733990147783252, 'pct': 0.3609083536090835}, 'last_hits_per_min': {'raw': 2.029556650246305, 'pct': 0.17680454176804541}, 'hero_damage_per_min': {'raw': 693.1428571428571, 'pct': 0.7201946472019465}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.8240064882400648}, 'tower_damage': {'raw': 568, 'pct': 0.291970802919708}}",8676910436,15.0,2026-02-04 05:25:30
1195957275,129,,,,1,1,104,1,50,127,1,939,112,108,36,0,0,1605,1595,14,11,16,0,202,9,575,792,24,22839,0,1,0,46028,4743,2676,904,22440,"[5595, 5597, 5596, 5595, 5595, 5598, 5595, 5596, 5597, 5597, 1113, 5596, 5596, 5598, 5597, 6671, 5598, 7395]",hidden,,,54,3766.99,False,False,1770095895,2518,381,7,22,False,59,False,1,0,24130,33237,0.3335980937251787,2.5,0,"{'gold_per_min': {'raw': 575, 'pct': 0.8529130850047756}, 'xp_per_min': {'raw': 792, 'pct': 0.7344794651384909}, 'kills_per_min': {'raw': 0.33359809372517873, 'pct': 0.8319006685768864}, 'last_hits_per_min': {'raw': 4.813343923749007, 'pct': 0.6284622731614136}, 'hero_damage_per_min': {'raw': 1096.7752184273234, 'pct': 0.9551098376313276}, 'hero_healing_per_min': {'raw': 63.76489277204131, 'pct': 0.7688634192932188}, 'tower_damage': {'raw': 4743, 'pct': 0.725883476599809}}",8675626130,,2026-02-03 05:18:15
1195957275,128,,,,1,0,100,1,50,610,1,232,108,42,36,0,0,1168,1586,6,9,23,0,151,2,393,673,25,20427,0,1,0,25120,683,0,1442,17990,"[5565, 5566, 7322, 7322, 7322, 5568, 7322, 5565, 5565, 5566, 5566, 5568, 5566, 414, 5565, 6411, 5568, 6963, 7891]",hidden,,,54,3766.99,False,True,1770091376,3359,251,7,22,False,59,False,0,1,22001,37676,0.10717475439118786,2.9,0,"{'gold_per_min': {'raw': 393, 'pct': 0.7262180974477959}, 'xp_per_min': {'raw': 673, 'pct': 0.7447795823665894}, 'kills_per_min': {'raw': 0.10717475439118784, 'pct': 0.45011600928074247}, 'last_hits_per_min': {'raw': 2.6972313188448944, 'pct': 0.7958236658932715}, 'hero_damage_per_min': {'raw': 448.70497171777316, 'pct': 0.6380510440835266}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.7099767981438515}, 'tower_damage': {'raw': 683, 'pct': 0.6496519721577726}}",8675583592,15.0,2026-02-03 04:02:56
1195957275,0,,,,0,0,14,1,214,37,1,0,232,36,0,0,0,359,1585,6,8,15,0,37,1,331,488,17,10159,0,0,0,17311,358,125,174,10385,"[5075, 5076, 5076, 5075, 5075, 5077, 5074, 5076, 5075, 5076, 5074, 5077, 5074, 5074]",hidden,,,54,3766.99,False,True,1770089006,1952,381,7,22,False,59,True,1,0,10768,15876,0.18442622950819673,2.33,0,"{'gold_per_min': {'raw': 331, 'pct': 0.28063241106719367}, 'xp_per_min': {'raw': 488, 'pct': 0.28402032749858835}, 'kills_per_min': {'raw': 0.1844262295081967, 'pct': 0.5398080180688877}, 'last_hits_per_min': {'raw': 1.1372950819672132, 'pct': 0.13777526821005082}, 'hero_damage_per_min': {'raw': 532.1004098360656, 'pct': 0.528514963297572}, 'hero_healing_per_min': {'raw': 3.842213114754098, 'pct': 0.8560135516657256}, 'tower_damage': {'raw': 358, 'pct': 0.47882552230378317}}",8675561840,,2026-02-03 03:23:26
1195957275,1,0.0,[],3.0,0,1,19,1,180,100,1,218,0,34,0,0,0,1604,1577,7,13,12,0,32,1,319,435,15,7766,0,0,0,18134,91,0,1266,6740,"[5107, 5106, 5106, 5107, 5106, 5107, 5106, 5107, 5109, 5108, 6934, 6937, 5109, 6937, 5108, 6153]",hidden,,,54,3766.99,False,False,1770009391,1855,381,7,22,False,59,True,0,1,9862,13448,0.22641509433962262,1.36,0,"{'gold_per_min': {'raw': 319, 'pct': 0.18424753867791843}, 'xp_per_min': {'raw': 435, 'pct': 0.18424753867791843}, 'kills_per_min': {'raw': 0.22641509433962265, 'pct': 0.7665260196905767}, 'last_hits_per_min': {'raw': 1.0350404312668464, 'pct': 0.04781997187060478}, 'hero_damage_per_min': {'raw': 586.544474393531, 'pct': 0.5668073136427567}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.8410689170182841}, 'tower_damage': {'raw': 91, 'pct': 0.1490857946554149}}",8674342390,,2026-02-02 05:16:31
1195957275,4,0.0,"[{'permanent_buff': 12, 'stack_count': 0, 'grant_time': 2433}]",5.0,0,4,129,2,50,116,1,90,168,36,0,0,0,1605,1586,9,11,22,0,226,12,480,712,24,20940,0,1,0,23085,519,0,3955,17550,"[6583, 6495, 6495, 6583, 6495, 1416, 6583, 6495, 6583, 6582, 6582, 1020, 1416, 6582, 6582, 545, 1416, 1542]",hidden,,,54,3766.99,False,True,1770006056,2848,381,7,22,False,59,True,1,0,22784,33796,0.1896067415730337,2.58,0,"{'gold_per_min': {'raw': 480, 'pct': 0.6289517470881864}, 'xp_per_min': {'raw': 712, 'pct': 0.6738768718801996}, 'kills_per_min': {'raw': 0.1896067415730337, 'pct': 0.7587354409317804}, 'last_hits_per_min': {'raw': 4.76123595505618, 'pct': 0.5490848585690515}, 'hero_damage_per_min': {'raw': 486.3412921348314, 'pct': 0.5291181364392679}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.5574043261231281}, 'tower_damage': {'raw': 519, 'pct': 0.44093178036605657}}",8674311510,,2026-02-02 04:20:56
1195957275,4,0.0,"[{'permanent_buff': 5, 'stack_count': 455, 'grant_time': 734}, {'permanent_buff': 12, 'stack_count': 0, 'grant_time': 2058}]",5.0,0,4,104,1,50,127,1,112,108,149,36,0,0,1605,1576,23,8,17,0,164,2,630,936,25,22109,0,1,0,43834,6834,2117,2774,19955,"[5595, 5597, 5595, 5596, 5595, 5598, 5595, 5597, 5597, 5596, 1113, 5597, 5598, 5596, 5596, 6671, 5598, 6526]",hidden,,,54,3766.99,False,True,1770003466,2263,412,7,22,False,59,True,1,0,23761,35302,0.6098099867432611,4.44,0,"{'gold_per_min': {'raw': 630, 'pct': 0.9407831900668577}, 'xp_per_min': {'raw': 936, 'pct': 0.8872970391595033}, 'kills_per_min': {'raw': 0.6098099867432613, 'pct': 0.9885386819484241}, 'last_hits_per_min': {'raw': 4.348210340256297, 'pct': 0.4689589302769819}, 'hero_damage_per_min': {'raw': 1162.1917808219177, 'pct': 0.9665711556829035}, 'hero_healing_per_min': {'raw': 56.12903225806451, 'pct': 0.7172874880611271}, 'tower_damage': {'raw': 6834, 'pct': 0.828080229226361}}",8674287978,,2026-02-02 03:37:46
