match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,average_rank,leaver_status,party_size,hero_variant,start_time_iso
8632847346,132,False,2372,22,7,1,1767409608,,13,5,13,43,0,3.0,1,2026-01-03 03:06:48
8625911120,0,False,3017,22,7,14,1766982031,22.0,10,15,12,54,0,5.0,1,2025-12-29 04:20:31
8625887097,0,False,1962,22,7,100,1766979650,,10,8,17,51,0,,1,2025-12-29 03:40:50
8624393470,3,False,3104,22,7,100,1766898556,,9,20,18,44,0,,1,2025-12-28 05:09:16
8624367903,129,False,1689,22,7,7,1766896536,,10,4,13,62,0,3.0,3,2025-12-28 04:35:36
8624341271,131,False,1889,22,7,84,1766894306,,5,3,23,45,0,,2,2025-12-28 03:58:26
8624305070,1,True,2723,22,7,100,1766891201,,20,10,35,61,0,3.0,1,2025-12-28 03:06:41
