account_id,player_slot,team_number,team_slot,hero_id,hero_variant,item_0,item_1,item_2,item_3,item_4,item_5,backpack_0,backpack_1,backpack_2,item_neutral,item_neutral2,kills,deaths,assists,leaver_status,last_hits,denies,gold_per_min,xp_per_min,level,net_worth,aghanims_scepter,aghanims_shard,moonshard,hero_damage,tower_damage,hero_healing,gold,gold_spent,ability_upgrades_arr,personaname,name,last_login,rank_tier,computed_mmr,is_subscriber,radiant_win,start_time,duration,cluster,lobby_type,game_mode,is_contributor,patch,region,isRadiant,win,lose,total_gold,total_xp,kills_per_min,kda,abandons,benchmarks,match_id,party_id,permanent_buffs,party_size,start_time_iso
1195957275,3,0,3,88,2,102,204,1,100,180,218,0,0,34,1607,1592,9,16,13,0,41,0,356,589,23,16717,0,0,0,30843,102,400,617,16580,"[5462, 1104, 5464, 5462, 5462, 5465, 1104, 5462, 1104, 1104, 5464, 5465, 5464, 5464, 1368, 402, 5465, 6399]",hidden,,,54,3766.99,False,True,1764395123,3016,251,7,22,False,58,15.0,True,1,0,17894,29607,0.17904509283819628,1.29,0,"{'gold_per_min': {'raw': 356, 'pct': 0.42424242424242425}, 'xp_per_min': {'raw': 589, 'pct': 0.3996212121212121}, 'kills_per_min': {'raw': 0.17904509283819628, 'pct': 0.44507575757575757}, 'last_hits_per_min': {'raw': 0.8156498673740052, 'pct': 0.10984848484848485}, 'hero_damage_per_min': {'raw': 613.5875331564987, 'pct': 0.5473484848484849}, 'hero_healing_per_min': {'raw': 7.957559681697614, 'pct': 0.9147727272727273}, 'tower_damage': {'raw': 102, 'pct': 0.36174242424242425}}",8581525582,,,,2025-11-29 05:45:23
1195957275,128,1,0,7,3,0,180,1,218,0,36,0,0,0,565,1583,2,11,8,0,38,3,257,312,11,5830,0,1,0,13207,0,0,280,5890,"[5023, 5024, 5025, 5024, 5024, 5026, 5025, 5024, 5025, 5025, 5023]",hidden,,,54,3766.99,False,True,1764392517,1503,381,7,22,False,58,,False,0,1,6437,7815,0.07984031936127745,0.83,0,"{'gold_per_min': {'raw': 257, 'pct': 0.06390977443609022}, 'xp_per_min': {'raw': 312, 'pct': 0.07268170426065163}, 'kills_per_min': {'raw': 0.07984031936127745, 'pct': 0.2531328320802005}, 'last_hits_per_min': {'raw': 1.5169660678642714, 'pct': 0.08270676691729323}, 'hero_damage_per_min': {'raw': 527.2255489021956, 'pct': 0.4448621553884712}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.8471177944862155}, 'tower_damage': {'raw': 0, 'pct': 0.2568922305764411}}",8581490019,5.0,"[{'permanent_buff': 12, 'stack_count': 0, 'grant_time': 1729}]",1.0,2025-11-29 05:01:57
1195957275,3,0,3,100,1,50,37,1,108,232,36,0,0,0,1603,1585,4,5,22,0,51,5,347,560,19,12254,0,0,0,19064,301,0,79,12465,"[5565, 5566, 7322, 5565, 5565, 5568, 5565, 7322, 5566, 5566, 7322, 5568, 7322, 5566, 414, 6423, 5568]",hidden,,,54,3766.99,False,True,1764309632,2191,251,7,22,False,58,15.0,True,1,0,12671,20449,0.10953902327704244,4.33,0,"{'gold_per_min': {'raw': 347, 'pct': 0.5197215777262181}, 'xp_per_min': {'raw': 560, 'pct': 0.5104408352668214}, 'kills_per_min': {'raw': 0.10953902327704244, 'pct': 0.4593967517401392}, 'last_hits_per_min': {'raw': 1.3966225467822913, 'pct': 0.43387470997679817}, 'hero_damage_per_min': {'raw': 522.0629849383843, 'pct': 0.7726218097447796}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.7099767981438515}, 'tower_damage': {'raw': 301, 'pct': 0.4802784222737819}}",8579932542,,,,2025-11-28 06:00:32
1195957275,4,0,4,53,1,63,108,250,86,26,36,240,111,0,1603,1586,11,13,7,0,214,4,554,689,21,19292,0,0,0,29233,801,535,292,21005,"[5245, 5246, 5245, 5246, 5245, 5248, 5245, 5246, 5246, 5247, 5248, 5247, 470, 5247, 5247, 1620, 5248, 927]",hidden,,,54,3766.99,False,False,1764303887,2241,251,7,22,False,58,15.0,True,0,1,20691,25734,0.29451137884872824,1.29,0,"{'gold_per_min': {'raw': 554, 'pct': 0.5250379362670713}, 'xp_per_min': {'raw': 689, 'pct': 0.5417298937784522}, 'kills_per_min': {'raw': 0.29451137884872824, 'pct': 0.8179059180576631}, 'last_hits_per_min': {'raw': 5.729585006693441, 'pct': 0.456752655538695}, 'hero_damage_per_min': {'raw': 782.6773761713521, 'pct': 0.7101669195751138}, 'hero_healing_per_min': {'raw': 14.3239625167336, 'pct': 0.5614567526555387}, 'tower_damage': {'raw': 801, 'pct': 0.2883156297420334}}",8579869802,4.0,[],1.0,2025-11-28 04:24:47
1195957275,130,1,2,35,2,108,63,263,7,485,36,20,134,0,1603,1586,5,9,15,0,171,16,459,582,20,16468,0,1,0,29988,717,0,1913,15105,"[5154, 5155, 5154, 5155, 5154, 5157, 5154, 5155, 5155, 5156, 5156, 5157, 5156, 928, 6305, 5156, 5157]",hidden,,,54,3766.99,False,True,1764219746,2280,381,7,22,False,58,,False,0,1,17442,22116,0.13157894736842105,2.0,0,"{'gold_per_min': {'raw': 459, 'pct': 0.3697657913413769}, 'xp_per_min': {'raw': 582, 'pct': 0.3307310149041874}, 'kills_per_min': {'raw': 0.13157894736842105, 'pct': 0.21646557842441447}, 'last_hits_per_min': {'raw': 4.5, 'pct': 0.3697657913413769}, 'hero_damage_per_min': {'raw': 789.1578947368421, 'pct': 0.5578424414478353}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.9240596167494677}, 'tower_damage': {'raw': 717, 'pct': 0.298083747338538}}",8578436312,7.0,"[{'permanent_buff': 12, 'stack_count': 0, 'grant_time': 1749}]",1.0,2025-11-27 05:02:26
1195957275,4,0,4,7,3,180,102,1,235,0,36,0,0,0,1602,1583,4,8,13,0,114,1,427,530,18,14795,0,1,0,15233,1050,0,2195,12840,"[5023, 5024, 5025, 5025, 5025, 5026, 5023, 5025, 5023, 5023, 5024, 5026, 5024, 5024, 858, 744, 5026]",hidden,,,54,3766.99,False,True,1764137001,2091,381,7,22,False,58,,True,1,0,14880,18470,0.11477761836441894,1.89,0,"{'gold_per_min': {'raw': 427, 'pct': 0.5162907268170426}, 'xp_per_min': {'raw': 530, 'pct': 0.3233082706766917}, 'kills_per_min': {'raw': 0.11477761836441894, 'pct': 0.40225563909774437}, 'last_hits_per_min': {'raw': 3.2711621233859396, 'pct': 0.40852130325814534}, 'hero_damage_per_min': {'raw': 437.10186513629844, 'pct': 0.2807017543859649}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.8471177944862155}, 'tower_damage': {'raw': 1050, 'pct': 0.6303258145363408}}",8577036750,,,,2025-11-26 06:03:21
1195957275,129,1,1,71,1,50,37,610,0,0,34,0,0,0,359,1577,3,4,26,0,49,2,368,604,18,11161,0,0,0,12879,378,0,1161,10330,"[5355, 5353, 5353, 5355, 5353, 5356, 5353, 5355, 5355, 7301, 7301, 5356, 7301, 7301, 7022, 6253, 5356]",hidden,,,54,3766.99,False,False,1763876880,1823,251,7,22,False,58,15.0,False,1,0,11181,18351,0.09873834339001646,5.8,0,"{'gold_per_min': {'raw': 368, 'pct': 0.45707070707070707}, 'xp_per_min': {'raw': 604, 'pct': 0.4217171717171717}, 'kills_per_min': {'raw': 0.09873834339001646, 'pct': 0.26262626262626265}, 'last_hits_per_min': {'raw': 1.6127262753702687, 'pct': 0.3106060606060606}, 'hero_damage_per_min': {'raw': 423.88370817334066, 'pct': 0.41919191919191917}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.6565656565656566}, 'tower_damage': {'raw': 378, 'pct': 0.4810606060606061}}",8572333657,,,,2025-11-23 05:48:00
