match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,average_rank,leaver_status,party_size,hero_variant,start_time_iso
8581525582,3,True,3016,22,7,88,1764395123,,9,16,13,52,0,,2,2025-11-29 05:45:23
8581490019,128,True,1503,22,7,7,1764392517,,2,11,8,53,0,1.0,3,2025-11-29 05:01:57
8579932542,3,True,2191,22,7,100,1764309632,,4,5,22,53,0,,1,2025-11-28 06:00:32
8579869802,4,False,2241,22,7,53,1764303887,,11,13,7,52,0,1.0,1,2025-11-28 04:24:47
8578436312,130,True,2280,22,7,35,1764219746,,5,9,15,53,0,1.0,2,2025-11-27 05:02:26
8577036750,4,True,2091,22,7,7,1764137001,,4,8,13,53,0,,3,2025-11-26 06:03:21
8572333657,129,False,1823,22,7,71,1763876880,,3,4,26,53,0,,1,2025-11-23 05:48:00
