match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,average_rank,leaver_status,party_size,hero_variant,start_time_iso
8602729487,128,True,3374,22,7,48,1765603498,,14,11,19,61,0,,2,2025-12-13 05:24:58
8602681122,0,False,3234,22,7,44,1765599708,,21,14,20,55,0,2.0,3,2025-12-13 04:21:48
8602257347,4,True,2156,22,7,8,1765569556,,7,3,8,53,0,,1,2025-12-12 19:59:16
8602143423,0,True,1943,22,7,1,1765565295,,7,3,10,53,0,1.0,1,2025-12-12 18:48:15
8601088371,3,False,2663,22,7,8,1765514488,,16,12,10,45,0,,1,2025-12-12 04:41:28
8601041727,4,True,4053,22,7,41,1765509888,,34,11,21,52,0,2.0,2,2025-12-12 03:24:48
8595511163,1,True,1779,22,7,35,1765169204,,7,3,10,53,0,,2,2025-12-08 04:46:44
