match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,average_rank,leaver_status,party_size,hero_variant,start_time_iso
8679428811,131,False,3771,22,7,104,1770354165,,11,14,25,53,0,1.0,1,2026-02-06 05:02:45
8676947936,131,True,2038,22,7,33,1770186670,,1,6,6,54,0,1.0,1,2026-02-04 06:31:10
8676910436,4,False,3045,22,7,21,1770182730,,9,16,12,54,0,1.0,4,2026-02-04 05:25:30
8675626130,129,False,2518,22,7,104,1770095895,,14,11,16,52,0,,1,2026-02-03 05:18:15
8675583592,128,True,3359,22,7,100,1770091376,,6,9,23,55,0,,1,2026-02-03 04:02:56
8675561840,0,True,1952,22,7,14,1770089006,,6,8,15,52,0,,1,2026-02-03 03:23:26
8674342390,1,False,1855,22,7,19,1770009391,,7,13,12,54,0,3.0,1,2026-02-02 05:16:31
8674311510,4,True,2848,22,7,129,1770006056,,9,11,22,55,0,5.0,2,2026-02-02 04:20:56
8674287978,4,True,2263,22,7,104,1770003466,,23,8,17,55,0,5.0,1,2026-02-02 03:37:46
