player_slot,team_number,team_slot,hero_id,item_0,item_1,item_2,item_3,item_4,item_5,backpack_0,backpack_1,backpack_2,item_neutral,item_neutral2,kills,deaths,assists,leaver_status,last_hits,denies,gold_per_min,xp_per_min,level,net_worth,aghanims_scepter,aghanims_shard,moonshard,hero_damage,tower_damage,hero_healing,gold,gold_spent,ability_upgrades_arr,rank_tier,computed_mmr,start_time,duration,game_mode,patch,isRadiant,win,total_gold,total_xp,kills_per_min,kda,abandons,benchmarks,match_id,hero_name,item_0_name,item_1_name,item_2_name,item_3_name,item_4_name,item_5_name,backpack_0_name,backpack_1_name,backpack_2_name,item_neutral_name,item_neutral2_name
4,0,4,21,166,108,98,63,7,36,0,0,0,1601,1583,9,16,12,0,103,4,304,535,22,13820,0,0,0,35177,568,0,635,14195,"[5131, 5130, 5131, 5130, 5130, 5133, 5132, 5130, 5132, 5131, 5920, 5132, 5133, 5132, 5131, 5133, 6992, 7889]",54,3766.99,1770182730,3045,22,59,True,0,15428,27151,0.1773399014778325,1.24,0,"{'gold_per_min': {'raw': 304, 'pct': 0.1030008110300081}, 'xp_per_min': {'raw': 535, 'pct': 0.29034874290348744}, 'kills_per_min': {'raw': 0.17733990147783252, 'pct': 0.3609083536090835}, 'last_hits_per_min': {'raw': 2.029556650246305, 'pct': 0.17680454176804541}, 'hero_damage_per_min': {'raw': 693.1428571428571, 'pct': 0.7201946472019465}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.8240064882400648}, 'tower_damage': {'raw': 568, 'pct': 0.291970802919708}}",8676910436,Windranger,Maelstrom,Aghanim's Scepter,Orchid Malevolence,Power Treads,Javelin,Magic Wand,,,,Crippling Crossbow,Mystical
129,1,1,104,50,127,1,939,112,108,36,0,0,1605,1595,14,11,16,0,202,9,575,792,24,22839,0,1,0,46028,4743,2676,904,22440,"[5595, 5597, 5596, 5595, 5595, 5598, 5595, 5596, 5597, 5597, 1113, 5596, 5596, 5598, 5597, 6671, 5598, 7395]",54,3766.99,1770095895,2518,22,59,False,1,24130,33237,0.3335980937251787,2.5,0,"{'gold_per_min': {'raw': 575, 'pct': 0.8529130850047756}, 'xp_per_min': {'raw': 792, 'pct': 0.7344794651384909}, 'kills_per_min': {'raw': 0.33359809372517873, 'pct': 0.8319006685768864}, 'last_hits_per_min': {'raw': 4.813343923749007, 'pct': 0.6284622731614136}, 'hero_damage_per_min': {'raw': 1096.7752184273234, 'pct': 0.9551098376313276}, 'hero_healing_per_min': {'raw': 63.76489277204131, 'pct': 0.7688634192932188}, 'tower_damage': {'raw': 4743, 'pct': 0.725883476599809}}",8675626130,Legion Commander,Phase Boots,Blade Mail,Blink Dagger,Harpoon,Assault Cuirass,Aghanim's Scepter,Magic Wand,,,Serrated Shiv,Keen-eyed
128,1,0,100,50,610,1,232,108,42,36,0,0,1168,1586,6,9,23,0,151,2,393,673,25,20427,0,1,0,25120,683,0,1442,17990,"[5565, 5566, 7322, 7322, 7322, 5568, 7322, 5565, 5565, 5566, 5566, 5568, 5566, 414, 5565, 6411, 5568, 6963, 7891]",54,3766.99,1770091376,3359,22,59,False,0,22001,37676,0.1071747543911878,2.9,0,"{'gold_per_min': {'raw': 393, 'pct': 0.7262180974477959}, 'xp_per_min': {'raw': 673, 'pct': 0.7447795823665894}, 'kills_per_min': {'raw': 0.10717475439118784, 'pct': 0.45011600928074247}, 'last_hits_per_min': {'raw': 2.6972313188448944, 'pct': 0.7958236658932715}, 'hero_damage_per_min': {'raw': 448.70497171777316, 'pct': 0.6380510440835266}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.7099767981438515}, 'tower_damage': {'raw': 683, 'pct': 0.6496519721577726}}",8675583592,Tusk,Phase Boots,Wind Waker,Blink Dagger,Aether Lens,Aghanim's Scepter,Observer Ward,Magic Wand,,,Rattlecage,Tough
0,0,0,14,214,37,1,0,232,36,0,0,0,359,1585,6,8,15,0,37,1,331,488,17,10159,0,0,0,17311,358,125,174,10385,"[5075, 5076, 5076, 5075, 5075, 5077, 5074, 5076, 5075, 5076, 5074, 5077, 5074, 5074]",54,3766.99,1770089006,1952,22,59,True,1,10768,15876,0.1844262295081967,2.33,0,"{'gold_per_min': {'raw': 331, 'pct': 0.28063241106719367}, 'xp_per_min': {'raw': 488, 'pct': 0.28402032749858835}, 'kills_per_min': {'raw': 0.1844262295081967, 'pct': 0.5398080180688877}, 'last_hits_per_min': {'raw': 1.1372950819672132, 'pct': 0.13777526821005082}, 'hero_damage_per_min': {'raw': 532.1004098360656, 'pct': 0.528514963297572}, 'hero_healing_per_min': {'raw': 3.842213114754098, 'pct': 0.8560135516657256}, 'tower_damage': {'raw': 358, 'pct': 0.47882552230378317}}",8675561840,Pudge,Tranquil Boots,Ghost Scepter,Blink Dagger,,Aether Lens,Magic Wand,,,,Essence Ring,Brawny
1,0,1,19,180,100,1,218,0,34,0,0,0,1604,1577,7,13,12,0,32,1,319,435,15,7766,0,0,0,18134,91,0,1266,6740,"[5107, 5106, 5106, 5107, 5106, 5107, 5106, 5107, 5109, 5108, 6934, 6937, 5109, 6937, 5108, 6153]",54,3766.99,1770009391,1855,22,59,True,0,9862,13448,0.2264150943396226,1.36,0,"{'gold_per_min': {'raw': 319, 'pct': 0.18424753867791843}, 'xp_per_min': {'raw': 435, 'pct': 0.18424753867791843}, 'kills_per_min': {'raw': 0.22641509433962265, 'pct': 0.7665260196905767}, 'last_hits_per_min': {'raw': 1.0350404312668464, 'pct': 0.04781997187060478}, 'hero_damage_per_min': {'raw': 586.544474393531, 'pct': 0.5668073136427567}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.8410689170182841}, 'tower_damage': {'raw': 91, 'pct': 0.1490857946554149}}",8674342390,Tiny,Arcane Boots,Eul's Scepter of Divinity,Blink Dagger,Observer and Sentry Wards,,Magic Stick,,,,Searing Signet,Quickened
4,0,4,129,50,116,1,90,168,36,0,0,0,1605,1586,9,11,22,0,226,12,480,712,24,20940,0,1,0,23085,519,0,3955,17550,"[6583, 6495, 6495, 6583, 6495, 1416, 6583, 6495, 6583, 6582, 6582, 1020, 1416, 6582, 6582, 545, 1416, 1542]",54,3766.99,1770006056,2848,22,59,True,1,22784,33796,0.1896067415730337,2.58,0,"{'gold_per_min': {'raw': 480, 'pct': 0.6289517470881864}, 'xp_per_min': {'raw': 712, 'pct': 0.6738768718801996}, 'kills_per_min': {'raw': 0.1896067415730337, 'pct': 0.7587354409317804}, 'last_hits_per_min': {'raw': 4.76123595505618, 'pct': 0.5490848585690515}, 'hero_damage_per_min': {'raw': 486.3412921348314, 'pct': 0.5291181364392679}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.5574043261231281}, 'tower_damage': {'raw': 519, 'pct': 0.44093178036605657}}",8674311510,Mars,Phase Boots,Black King Bar,Blink Dagger,Pipe of Insight,Desolator,Magic Wand,,,,Serrated Shiv,Tough
4,0,4,104,50,127,1,112,108,149,36,0,0,1605,1576,23,8,17,0,164,2,630,936,25,22109,0,1,0,43834,6834,2117,2774,19955,"[5595, 5597, 5595, 5596, 5595, 5598, 5595, 5597, 5597, 5596, 1113, 5597, 5598, 5596, 5596, 6671, 5598, 6526]",54,3766.99,1770003466,2263,22,59,True,1,23761,35302,0.6098099867432611,4.44,0,"{'gold_per_min': {'raw': 630, 'pct': 0.9407831900668577}, 'xp_per_min': {'raw': 936, 'pct': 0.8872970391595033}, 'kills_per_min': {'raw': 0.6098099867432613, 'pct': 0.9885386819484241}, 'last_hits_per_min': {'raw': 4.348210340256297, 'pct': 0.4689589302769819}, 'hero_damage_per_min': {'raw': 1162.1917808219177, 'pct': 0.9665711556829035}, 'hero_healing_per_min': {'raw': 56.12903225806451, 'pct': 0.7172874880611271}, 'tower_damage': {'raw': 6834, 'pct': 0.828080229226361}}",8674287978,Legion Commander,Phase Boots,Blade Mail,Blink Dagger,Assault Cuirass,Aghanim's Scepter,Crystalys,Magic Wand,,,Serrated Shiv,Vast
3,0,3,88,102,204,1,100,180,218,0,0,34,1607,1592,9,16,13,0,41,0,356,589,23,16717,0,0,0,30843,102,400,617,16580,"[5462, 1104, 5464, 5462, 5462, 5465, 1104, 5462, 1104, 1104, 5464, 5465, 5464, 5464, 1368, 402, 5465, 6399]",54,3766.99,1764395123,3016,22,58,True,1,17894,29607,0.1790450928381962,1.29,0,"{'gold_per_min': {'raw': 356, 'pct': 0.42424242424242425}, 'xp_per_min': {'raw': 589, 'pct': 0.3996212121212121}, 'kills_per_min': {'raw': 0.17904509283819628, 'pct': 0.44507575757575757}, 'last_hits_per_min': {'raw': 0.8156498673740052, 'pct': 0.10984848484848485}, 'hero_damage_per_min': {'raw': 613.5875331564987, 'pct': 0.5473484848484849}, 'hero_healing_per_min': {'raw': 7.957559681697614, 'pct': 0.9147727272727273}, 'tower_damage': {'raw': 102, 'pct': 0.36174242424242425}}",8581525582,Nyx Assassin,Force Staff,Dagon,Blink Dagger,Eul's Scepter of Divinity,Arcane Boots,Observer and Sentry Wards,,,Magic Stick,Magnifying Monocle,Timeless
128,1,0,7,0,180,1,218,0,36,0,0,0,565,1583,2,11,8,0,38,3,257,312,11,5830,0,1,0,13207,0,0,280,5890,"[5023, 5024, 5025, 5024, 5024, 5026, 5025, 5024, 5025, 5025, 5023]",54,3766.99,1764392517,1503,22,58,False,0,6437,7815,0.0798403193612774,0.83,0,"{'gold_per_min': {'raw': 257, 'pct': 0.06390977443609022}, 'xp_per_min': {'raw': 312, 'pct': 0.07268170426065163}, 'kills_per_min': {'raw': 0.07984031936127745, 'pct': 0.2531328320802005}, 'last_hits_per_min': {'raw': 1.5169660678642714, 'pct': 0.08270676691729323}, 'hero_damage_per_min': {'raw': 527.2255489021956, 'pct': 0.4448621553884712}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.8471177944862155}, 'tower_damage': {'raw': 0, 'pct': 0.2568922305764411}}",8581490019,Earthshaker,,Arcane Boots,Blink Dagger,Observer and Sentry Wards,,Magic Wand,,,,Chipped Vest,Mystical
3,0,3,100,50,37,1,108,232,36,0,0,0,1603,1585,4,5,22,0,51,5,347,560,19,12254,0,0,0,19064,301,0,79,12465,"[5565, 5566, 7322, 5565, 5565, 5568, 5565, 7322, 5566, 5566, 7322, 5568, 7322, 5566, 414, 6423, 5568]",54,3766.99,1764309632,2191,22,58,True,1,12671,20449,0.1095390232770424,4.33,0,"{'gold_per_min': {'raw': 347, 'pct': 0.5197215777262181}, 'xp_per_min': {'raw': 560, 'pct': 0.5104408352668214}, 'kills_per_min': {'raw': 0.10953902327704244, 'pct': 0.4593967517401392}, 'last_hits_per_min': {'raw': 1.3966225467822913, 'pct': 0.43387470997679817}, 'hero_damage_per_min': {'raw': 522.0629849383843, 'pct': 0.7726218097447796}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.7099767981438515}, 'tower_damage': {'raw': 301, 'pct': 0.4802784222737819}}",8579932542,Tusk,Phase Boots,Ghost Scepter,Blink Dagger,Aghanim's Scepter,Aether Lens,Magic Wand,,,,Gunpowder Gauntlet,Brawny
