match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,average_rank,leaver_status,party_size,hero_variant,start_time_iso
8592152304,131,False,2213,22,7,8,1764996566,,28,3,9,45,0,2.0,1,2025-12-06 04:49:26
8592117739,128,False,2352,22,7,35,1764993787,,16,3,22,51,0,,2,2025-12-06 04:03:07
8590651611,3,True,2079,22,7,104,1764912756,,8,6,6,52,0,1.0,1,2025-12-05 05:32:36
8590593447,4,False,3590,22,7,35,1764907202,,14,8,16,52,0,,2,2025-12-05 04:00:02
8583258166,4,True,2361,22,7,104,1764478288,,12,5,31,53,0,,1,2025-11-30 04:51:28
8583192255,4,False,2252,22,7,2,1764473467,,10,12,13,55,3,,2,2025-11-30 03:31:07
